Date,Transaction,Description,Memo,Amount
2024-05-06,CREDIT,PAYMENT THANK YOU,WEB AUTOMTC; ; ; ; ;,81.0
2024-05-06,DEBIT,AMZN Mktp US*EIX Amzn.com/bill WA,24692164126108659230269; 05942; ; ; ;,-51.38
2024-05-06,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004127898000051299; 05300; ; ; ;,-206.63
2024-05-06,DEBIT,Amazon.com*LDZM Amzn.com/bill WA,24692164125107230168700; 05942; ; ; ;,-18.48
2024-05-06,DEBIT,TST* SPARROW COFFEE NA Naperville IL,24692164125107387919848; 05812; ; ; ;,-39.68
2024-05-06,DEBIT,AMZN Mktp US*NIEIK Amzn.com/bill WA,24692164125107687700203; 05942; ; ; ;,-14.0
2024-05-06,DEBIT,AMZN Mktp US*QMAAK Amzn.com/bill WA,24692164124106427747822; 05942; ; ; ;,-62.59
2024-05-06,DEBIT,AMZ*Protea Nutrition pay.amazon.co SD,24692164124106798322916; 05499; ; ; ;,-57.3
2024-05-07,DEBIT,Amazon.com*UYQL Amzn.com/bill WA,24692164127109036502817; 05942; ; ; ;,-63.15
2024-05-07,DEBIT,Amazon.com*QRRY Amzn.com/bill WA,24692164127109127793499; 05942; ; ; ;,-39.67
2024-05-07,DEBIT,SP POLIQUIN POLIQUINPERFO FL,24011344127000039154866; 05499; ; ; ;,-94.85
2024-05-07,DEBIT,Amazon.com*HDZQT Amzn.com/bill WA,24692164127109329700714; 05942; ; ; ;,-60.28
2024-05-07,DEBIT,SC PASSPORT VARENNES GATINEAU QC - . CANADIAN DOLLAR,74064494127820129313526; 09399; ; ; ;,-191.06
2024-05-07,DEBIT,EOLA POINT ANIMAL HOSP AURORA IL,24445004127300439205839; 00742; ; ; ;,-228.99
2024-05-08,DEBIT,BUIKEMA S ACE HARDWARE NAPERVILLE IL,24137464128500767866445; 05251; ; ; ;,-30.16
2024-05-08,DEBIT,BARBER HAUS SHOPS.GETSQUI NY,24492164128000027791884; 07230; ; ; ;,-84.0
2024-05-08,DEBIT,KRISERS NAPERVILLE NAPERVILLE IL,24017944129400283000154; 05995; ; ; ;,-101.26
2024-05-09,DEBIT,ETSY INC. - NY,24793384130001233122076; 05699; ; ; ;,-27.47
2024-05-10,DEBIT,AMZN Mktp US*JFPFLJ Amzn.com/bill WA,24692164130101469064063; 05942; ; ; ;,-54.93
2024-05-10,DEBIT,AMZN Mktp US*VJIW Amzn.com/bill WA,24692164131102057970561; 05942; ; ; ;,-9.1
2024-05-13,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004134898000035061; 05300; ; ; ;,-359.03
2024-05-14,DEBIT,AMZN Mktp US*ZZTJG Amzn.com/bill WA,24692164134104833467711; 05942; ; ; ;,-31.24
2024-05-14,DEBIT,AMZN Mktp US*EBTKF Amzn.com/bill WA,24692164135105460208236; 05942; ; ; ;,-61.04
2024-05-14,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344135000023456640; 05331; ; ; ;,-27.14
2024-05-15,DEBIT,Amazon.com*HZK Amzn.com/bill WA,24692164135105587884950; 05942; ; ; ;,-11.84
2024-05-15,DEBIT,AMAZON.COM*DYJK SEATTLE WA,24431064135083748490280; 05942; ; ; ;,-23.4
2024-05-15,DEBIT,AMZN Mktp US*VGSHK Amzn.com/bill WA,24692164135105928048232; 05942; ; ; ;,-21.74
2024-05-15,DEBIT,AMZN Mktp US*TZXXK Amzn.com/bill WA,24692164135105971938891; 05942; ; ; ;,-40.65
2024-05-15,DEBIT,AMZN Mktp US*AZUL Amzn.com/bill WA,24692164135105995541614; 05942; ; ; ;,-37.13
2024-05-17,DEBIT,AMZN Mktp US*QAJJIN Amzn.com/bill WA,24692164137107248969764; 05942; ; ; ;,-10.76
2024-05-17,DEBIT,BUIKEMA S ACE HARDWARE NAPERVILLE IL,24137464137500901878602; 05251; ; ; ;,-5.39
2024-05-17,DEBIT,BUIKEMA S ACE HARDWARE NAPERVILLE IL,24137464137500901878529; 05251; ; ; ;,-5.39
2024-05-17,DEBIT,BUIKEMA S ACE HARDWARE NAPERVILLE IL,24137464137500901878453; 05251; ; ; ;,-5.39
2024-05-17,DEBIT,MENARDS NAPERVILLE IL NAPERVILLE IL,24137464137100162924839; 05200; ; ; ;,-32.58
2024-05-17,DEBIT,THE CLEANING AUTHORITY -- IL,24269794137300706973280; 07349; ; ; ;,-229.0
2024-05-20,DEBIT,COURSERA.ORG HTTPSWWW.COUR CA,24011344141000000803600; 08299; ; ; ;,-49.0
2024-05-20,DEBIT,COSTCO WHSE# NAPERVILLE IL,24943004141898000028307; 05300; ; ; ;,-350.73
2024-05-20,DEBIT,GROUND EFFECTS SUPPLY - IL,24755424138181381033218; 00780; ; ; ;,-21.84
2024-05-20,DEBIT,THE GROWING PLACE NA NAPERVILLE IL,24701774138639501421871; 05261; ; ; ;,-239.9
2024-05-20,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344139000017607436; 05331; ; ; ;,-11.16
2024-05-20,DEBIT,KRISERS NAPERVILLE NAPERVILLE IL,24017944139400283000012; 05995; ; ; ;,-82.22
2024-05-20,DEBIT,Amazon.com*MYRID Amzn.com/bill WA,24692164139108904228519; 05942; ; ; ;,-13.09
2024-05-21,DEBIT,AMAZON.COM*KHS SEATTLE WA,24431064141083706820934; 05942; ; ; ;,-44.53
2024-05-21,DEBIT,AMZN Mktp US*DATCP Amzn.com/bill WA,24692164141100936916381; 05942; ; ; ;,-4.95
2024-05-21,DEBIT,AMZN Mktp US*GDN Amzn.com/bill WA,24692164141101018174352; 05942; ; ; ;,-12.92
2024-05-21,DEBIT,AMZN Mktp US*PHSL Amzn.com/bill WA,24692164141101013334274; 05942; ; ; ;,-45.79
2024-05-21,DEBIT,AMZN Mktp US*XP Amzn.com/bill WA,24692164142101308432337; 05942; ; ; ;,-43.63
2024-05-22,DEBIT,AMZN Mktp US*TG Amzn.com/bill WA,24692164142101578422810; 05942; ; ; ;,-55.27
2024-05-23,DEBIT,AMZN Mktp US*QVYHW Amzn.com/bill WA,24692164143102276915591; 05942; ; ; ;,-16.15
2024-05-28,DEBIT,AMAZON RET* - WWW.AMAZON.CO WA,24011344149000010852854; 05331; ; ; ;,-70.72
